CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Status
Master P,2,1,Rank,12.0,9,1-9,,,,,,,,Safe
Drew Lachey,2,1,Rank,24.0,1,1-10,,,,,,,,Safe
Kenny Mayne,2,1,Rank,13.0,8,2-10,,,,,,,,Eliminated (Place 10)
Tatum O'Neal,2,2,Rank,17.0,7,2-9,,,,,,,,Eliminated (Place 9)
Tia Carrere,2,2,Rank,22.0,5,1-9,,,,,,,,Safe
George Hamilton,2,2,Rank,22.0,5,1-9,,,,,,,,Safe
Lisa Rinna,2,2,Rank,20.0,6,1-9,,,,,,,,Safe
Stacy Keibler,2,2,Rank,29.0,1,1-9,,,,,,,,Safe
Jerry Rice,2,2,Rank,23.0,4,1-9,,,,,,,,Safe
Giselle Fernandez,2,2,Rank,24.0,3,1-9,,,,,,,,Safe
Master P,2,2,Rank,16.0,8,1-8,,,,,,,,Safe
Drew Lachey,2,2,Rank,27.0,2,1-9,,,,,,,,Safe
Tia Carrere,2,3,Rank,26.0,2,1-8,,,,,,,,Safe
George Hamilton,2,3,Rank,22.0,4,1-7,,,,,,,,Safe
Lisa Rinna,2,3,Rank,25.0,3,1-8,,,,,,,,Safe
Stacy Keibler,2,3,Rank,27.0,1,1-8,,,,,,,,Safe
Jerry Rice,2,3,Rank,19.0,5,1-6,,,,,,,,Safe
Giselle Fernandez,2,3,Rank,22.0,4,4-8,,,,,,,,Eliminated (Place 8)
Master P,2,3,Rank,14.0,6,1-5,,,,,,,,Safe
Drew Lachey,2,3,Rank,27.0,1,1-8,,,,,,,,Safe
Tia Carrere,2,4,Rank,25.0,3,1-7,,,,,,,,Safe
George Hamilton,2,4,Rank,21.0,5,1-7,,,,,,,,Safe
Lisa Rinna,2,4,Rank,26.0,2,1-7,,,,,,,,Safe
Stacy Keibler,2,4,Rank,26.0,2,1-7,,,,,,,,Safe
Jerry Rice,2,4,Rank,24.0,4,1-7,,,,,,,,Safe
Master P,2,4,Rank,8.0,6,1-7,,,,,,,,Eliminated (Place 7)
Drew Lachey,2,4,Rank,28.0,1,1-7,,,,,,,,Safe
Tia Carrere,2,5,Rank,22.0,6,1-6,,,,,,,,Eliminated (Place 6)
George Hamilton,2,5,Rank,24.0,4,1-6,,,,,,,,Safe
Lisa Rinna,2,5,Rank,25.0,3,1-6,,,,,,,,Safe
Stacy Keibler,2,5,Rank,30.0,1,1-6,,,,,,,,Safe
Jerry Rice,2,5,Rank,23.0,5,1-6,,,,,,,,Safe
Drew Lachey,2,5,Rank,27.0,2,1-6,,,,,,,,Safe
George Hamilton,2,6,Rank,23.0,3,2-5,,,,,,,,Eliminated (Place 5)
Lisa Rinna,2,6,Rank,27.0,2,1-5,,,,,,,,Safe
Stacy Keibler,2,6,Rank,30.0,1,1-5,,,,,,,,Safe
Jerry Rice,2,6,Rank,23.0,3,1-4,,,,,,,,Safe
Drew Lachey,2,6,Rank,30.0,1,1-5,,,,,,,,Safe
Lisa Rinna,2,7,Rank,26.5,2,2-4,,,,,,,,Eliminated (Place 4)
Stacy Keibler,2,7,Rank,27.5,1,1-4,,,,,,,,Safe
Jerry Rice,2,7,Rank,20.5,3,1-3,,,,,,,,Safe
Drew Lachey,2,7,Rank,27.5,1,1-4,,,,,,,,Safe
Stacy Keibler,2,8,Rank,28.6665,2,1-3,,,,,,,,Eliminated (Place 3)
Jerry Rice,2,8,Rank,26.666600000000003,3,1-3,,,,,,,,Eliminated (Place 2)
Drew Lachey,2,8,Rank,28.9998,1,1-3,,,,,,,,Safe
Harry Hamlin,3,1,Percent,17.0,8.0%,0.0%-100.0%,7.871617317199707,7.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Safe
Vivica A. Fox,3,1,Percent,22.0,10.4%,0.0%-100.0%,10.475419998168945,3.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Safe
Monique Coleman,3,1,Percent,19.0,9.0%,0.0%-100.0%,8.973435401916504,5.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Safe
Joey Lawrence,3,1,Percent,21.0,9.9%,0.0%-100.0%,10.05423355102539,4.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Safe
Mario Lopez,3,1,Percent,26.0,12.3%,0.0%-100.0%,12.727739334106445,1.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Safe
Emmitt Smith,3,1,Percent,24.0,11.3%,0.0%-100.0%,11.711833953857422,2.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Safe
Shanna Moakler,3,1,Percent,18.0,8.5%,0.0%-100.0%,8.400043487548828,6.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Safe
Willa Ford,3,1,Percent,22.0,10.4%,0.0%-100.0%,10.475419998168945,3.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Safe
Sara Evans,3,1,Percent,15.0,7.1%,0.0%-100.0%,6.82904052734375,9.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Withdrew
Jerry Springer,3,1,Percent,16.0,7.5%,0.0%-100.0%,7.341121673583984,8.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Safe
Tucker Carlson,3,1,Percent,12.0,5.7%,0.0%-13.6%,5.1400909423828125,10.0,0.013592565059661865,0.0,0.0,0.00024574995040893555,0.022244691848754883,Eliminated (Place 11)
Harry Hamlin,3,2,Percent,21.0,9.1%,0.4%-98.3%,8.726076126098633,6.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Safe
Vivica A. Fox,3,2,Percent,24.0,10.4%,0.0%-97.8%,10.657121658325195,3.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Safe
Monique Coleman,3,2,Percent,26.0,11.3%,0.0%-97.8%,11.997637748718262,2.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Safe
Joey Lawrence,3,2,Percent,29.0,12.6%,0.0%-97.8%,13.996926307678223,1.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Safe
Mario Lopez,3,2,Percent,21.0,9.1%,0.4%-98.3%,8.726076126098633,6.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Safe
Emmitt Smith,3,2,Percent,24.0,10.4%,0.0%-97.8%,10.657121658325195,3.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Safe
Shanna Moakler,3,2,Percent,22.0,9.6%,0.0%-11.6%,9.057985305786133,5.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Eliminated (Place 10)
Willa Ford,3,2,Percent,23.0,10.0%,0.0%-97.8%,10.01054859161377,4.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Safe
Sara Evans,3,2,Percent,21.0,9.1%,0.0%-97.8%,8.630472183227539,7.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Withdrew
Jerry Springer,3,2,Percent,19.0,8.3%,1.3%-99.1%,7.540036201477051,8.0,0.018015234381891787,0.00011426246055634692,0.0,0.0018198490142822266,0.011757314205169678,Safe
Harry Hamlin,3,3,Percent,22.0,10.6%,0.0%-12.9%,10.759307861328125,4.0,0.008036461821757258,8.354902820428833e-05,0.0,0.00024241209030151367,0.0018502124585211277,Eliminated (Place 9)
Vivica A. Fox,3,3,Percent,27.0,13.0%,0.0%-98.1%,12.347907066345215,1.0,0.008036461821757258,8.354902820428833e-05,0.0,0.00024241209030151367,0.0018502124585211277,Safe
Monique Coleman,3,3,Percent,27.0,13.0%,0.0%-98.1%,12.347907066345215,1.0,0.008036461821757258,8.354902820428833e-05,0.0,0.00024241209030151367,0.0018502124585211277,Safe
Joey Lawrence,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.801466941833496,3.0,0.008036461821757258,8.354902820428833e-05,0.0,0.00024241209030151367,0.0018502124585211277,Safe
Mario Lopez,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.801466941833496,3.0,0.008036461821757258,8.354902820428833e-05,0.0,0.00024241209030151367,0.0018502124585211277,Safe
Emmitt Smith,3,3,Percent,19.0,9.2%,1.4%-99.5%,9.905405044555664,6.0,0.008036461821757258,8.354902820428833e-05,0.0,0.00024241209030151367,0.0018502124585211277,Safe
Willa Ford,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.801466941833496,3.0,0.008036461821757258,8.354902820428833e-05,0.0,0.00024241209030151367,0.0018502124585211277,Safe
Sara Evans,3,3,Percent,25.0,12.1%,0.0%-98.1%,11.730093955993652,2.0,0.008036461821757258,8.354902820428833e-05,0.0,0.00024241209030151367,0.0018502124585211277,Withdrew
Jerry Springer,3,3,Percent,21.0,10.1%,0.5%-98.6%,10.504965782165527,5.0,0.008036461821757258,8.354902820428833e-05,0.0,0.00024241209030151367,0.0018502124585211277,Safe
Vivica A. Fox,3,4,Percent,24.0,12.1%,0.0%-15.0%,10.7274751663208,5.0,0.03839406248371233,8.742111822357401e-05,6.1319242377066985e-06,0.005998969078063965,0.04231523349881172,Eliminated (Place 8)
Monique Coleman,3,4,Percent,24.0,12.1%,0.0%-99.0%,11.621902465820312,4.0,0.03839406248371233,8.742111822357401e-05,6.1319242377066985e-06,0.005998969078063965,0.04231523349881172,Safe
Joey Lawrence,3,4,Percent,27.0,13.6%,0.0%-99.0%,15.694072723388672,3.0,0.03839406248371233,8.742111822357401e-05,6.1319242377066985e-06,0.005998969078063965,0.04231523349881172,Safe
Mario Lopez,3,4,Percent,29.0,14.6%,0.0%-99.0%,18.59319305419922,1.0,0.03839406248371233,8.742111822357401e-05,6.1319242377066985e-06,0.005998969078063965,0.04231523349881172,Safe
Emmitt Smith,3,4,Percent,24.0,12.1%,0.0%-99.0%,11.621902465820312,4.0,0.03839406248371233,8.742111822357401e-05,6.1319242377066985e-06,0.005998969078063965,0.04231523349881172,Safe
Willa Ford,3,4,Percent,28.0,14.1%,0.0%-99.0%,17.129491806030273,2.0,0.03839406248371233,8.742111822357401e-05,6.1319242377066985e-06,0.005998969078063965,0.04231523349881172,Safe
Sara Evans,3,4,Percent,20.0,10.1%,0.0%-99.0%,5.164651393890381,7.0,0.03839406248371233,8.742111822357401e-05,6.1319242377066985e-06,0.005998969078063965,0.04231523349881172,Withdrew
Jerry Springer,3,4,Percent,22.0,11.1%,1.0%-100.0%,9.447320938110352,6.0,0.03839406248371233,8.742111822357401e-05,6.1319242377066985e-06,0.005998969078063965,0.04231523349881172,Safe
Monique Coleman,3,5,Percent,27.0,14.9%,0.0%-97.2%,15.716925621032715,2.0,0.1355877261608839,0.0011430811136960983,0.0,0.04093557596206665,0.005342768505215645,Safe
Joey Lawrence,3,5,Percent,25.0,13.8%,1.1%-98.3%,12.075712203979492,5.0,0.1355877261608839,0.0011430811136960983,0.0,0.04093557596206665,0.005342768505215645,Safe
Mario Lopez,3,5,Percent,27.0,14.9%,0.0%-97.2%,15.716925621032715,2.0,0.1355877261608839,0.0011430811136960983,0.0,0.04093557596206665,0.005342768505215645,Safe
Emmitt Smith,3,5,Percent,27.0,14.9%,0.0%-97.2%,15.716925621032715,2.0,0.1355877261608839,0.0011430811136960983,0.0,0.04093557596206665,0.005342768505215645,Safe
Willa Ford,3,5,Percent,27.0,14.9%,0.0%-16.2%,16.08839988708496,1.0,0.1355877261608839,0.0011430811136960983,0.0,0.04093557596206665,0.005342768505215645,Eliminated (Place 7)
Sara Evans,3,5,Percent,24.0,13.3%,0.0%-97.2%,12.466414451599121,3.0,0.1355877261608839,0.0011430811136960983,0.0,0.04093557596206665,0.005342768505215645,Withdrew
Jerry Springer,3,5,Percent,24.0,13.3%,1.7%-98.9%,12.2186918258667,4.0,0.1355877261608839,0.0011430811136960983,0.0,0.04093557596206665,0.005342768505215645,Safe
Monique Coleman,3,6,Percent,23.0,19.5%,0.0%-100.0%,19.603038787841797,4.0,0.002163724508136511,0.0,0.0,1.3709068298339844e-06,0.0036039226688444614,Safe
Joey Lawrence,3,6,Percent,24.0,20.3%,0.0%-100.0%,20.257518768310547,3.0,0.002163724508136511,0.0,0.0,1.3709068298339844e-06,0.0036039226688444614,Safe
Mario Lopez,3,6,Percent,28.0,23.7%,0.0%-100.0%,22.879148483276367,1.0,0.002163724508136511,0.0,0.0,1.3709068298339844e-06,0.0036039226688444614,Safe
Emmitt Smith,3,6,Percent,25.0,21.2%,0.0%-100.0%,20.919553756713867,2.0,0.002163724508136511,0.0,0.0,1.3709068298339844e-06,0.0036039226688444614,Safe
Jerry Springer,3,6,Percent,18.0,15.3%,0.0%-100.0%,16.340736389160156,5.0,0.002163724508136511,0.0,0.0,1.3709068298339844e-06,0.0036039226688444614,Safe
Monique Coleman,3,7,Percent,27.0,20.0%,0.0%-100.0%,19.581331253051758,3.0,0.017538197338581085,0.0,0.0,0.0020278096199035645,0.025850646197795868,Safe
Joey Lawrence,3,7,Percent,28.5,21.1%,0.0%-100.0%,24.083940505981445,1.0,0.017538197338581085,0.0,0.0,0.0020278096199035645,0.025850646197795868,Safe
Mario Lopez,3,7,Percent,28.0,20.7%,0.0%-100.0%,22.129222869873047,2.0,0.017538197338581085,0.0,0.0,0.0020278096199035645,0.025850646197795868,Safe
Emmitt Smith,3,7,Percent,28.5,21.1%,0.0%-100.0%,24.083940505981445,1.0,0.017538197338581085,0.0,0.0,0.0020278096199035645,0.025850646197795868,Safe
Jerry Springer,3,7,Percent,23.0,17.0%,0.0%-23.0%,10.12155818939209,4.0,0.017538197338581085,0.0,0.0,0.0020278096199035645,0.025850646197795868,Eliminated (Place 5)
Monique Coleman,3,8,Percent,26.5,24.3%,0.0%-25.7%,22.866106033325195,3.0,0.0011652716435492038,0.0,0.0,4.76837158203125e-07,0.0019413246773183346,Eliminated (Place 4)
Joey Lawrence,3,8,Percent,27.0,24.8%,0.0%-100.0%,24.291553497314453,2.0,0.0011652716435492038,0.0,0.0,4.76837158203125e-07,0.0019413246773183346,Safe
Mario Lopez,3,8,Percent,28.5,26.1%,0.0%-100.0%,28.550785064697266,1.0,0.0011652716435492038,0.0,0.0,4.76837158203125e-07,0.0019413246773183346,Safe
Emmitt Smith,3,8,Percent,27.0,24.8%,0.0%-100.0%,24.291553497314453,2.0,0.0011652716435492038,0.0,0.0,4.76837158203125e-07,0.0019413246773183346,Safe
Joey Lawrence,3,9,Percent,29.5,33.3%,0.0%-33.3%,33.333335876464844,1.0,1.0,0.0,0.0,1.0,0.0,Eliminated (Place 3)
Mario Lopez,3,9,Percent,29.5,33.3%,0.0%-100.0%,33.333335876464844,1.0,1.0,0.0,0.0,1.0,0.0,Safe
Emmitt Smith,3,9,Percent,29.5,33.3%,0.0%-100.0%,33.333335876464844,1.0,1.0,0.0,0.0,1.0,0.0,Safe
Mario Lopez,3,10,Percent,29.666600000000003,50.0%,0.0%-50.0%,50.0,1.0,1.0,0.0,0.0,1.0,0.0,Eliminated (Place 2)
Emmitt Smith,3,10,Percent,29.666600000000003,50.0%,50.0%-100.0%,50.0,1.0,1.0,0.0,0.0,1.0,0.0,Safe
John Ratzenberger,4,1,Percent,17.0,8.3%,0.0%-100.0%,8.10268783569336,6.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Ian Ziering,4,1,Percent,21.0,10.2%,0.0%-100.0%,10.477742195129395,3.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Clyde Drexler,4,1,Percent,16.0,7.8%,0.0%-100.0%,7.368943214416504,7.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Laila Ali,4,1,Percent,23.0,11.2%,0.0%-100.0%,11.832721710205078,2.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Apolo Anton Ohno,4,1,Percent,21.0,10.2%,0.0%-100.0%,10.477742195129395,3.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Shandi Finnessey,4,1,Percent,19.0,9.2%,0.0%-100.0%,9.264204978942871,4.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Paulina Porizkova,4,1,Percent,19.0,9.2%,0.0%-100.0%,9.264204978942871,4.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Heather Mills,4,1,Percent,18.0,8.7%,0.0%-100.0%,8.617525100708008,5.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Billy Ray Cyrus,4,1,Percent,13.0,6.3%,0.0%-100.0%,5.411777973175049,9.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Joey Fatone,4,1,Percent,24.0,11.7%,0.0%-100.0%,12.4492769241333,1.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
Leeza Gibbons,4,1,Percent,15.0,7.3%,0.0%-100.0%,6.733170986175537,8.0,0.012275931984186172,0.0,0.0,0.00022977590560913086,0.020076926797628403,Safe
John Ratzenberger,4,2,Percent,21.0,8.6%,0.0%-98.4%,7.7827982902526855,5.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
Ian Ziering,4,2,Percent,22.0,9.0%,0.0%-98.4%,8.862532615661621,4.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
Clyde Drexler,4,2,Percent,18.0,7.3%,1.2%-99.6%,4.654499530792236,8.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
Laila Ali,4,2,Percent,27.0,11.0%,0.0%-98.4%,14.11332893371582,1.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
Apolo Anton Ohno,4,2,Percent,26.0,10.6%,0.0%-98.4%,13.088379859924316,2.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
Shandi Finnessey,4,2,Percent,20.0,8.2%,0.4%-98.8%,6.85947322845459,7.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
Paulina Porizkova,4,2,Percent,21.0,8.6%,0.0%-9.6%,7.185607433319092,6.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Eliminated (Place 11)
Heather Mills,4,2,Percent,24.0,9.8%,0.0%-98.4%,10.943892478942871,3.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
Billy Ray Cyrus,4,2,Percent,21.0,8.6%,0.0%-98.4%,7.7827982902526855,5.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
Joey Fatone,4,2,Percent,24.0,9.8%,0.0%-98.4%,10.943892478942871,3.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
Leeza Gibbons,4,2,Percent,21.0,8.6%,0.0%-98.4%,7.7827982902526855,5.0,0.034406327083706854,0.0001464370870962739,0.0,0.0022191405296325684,0.03412036597728729,Safe
John Ratzenberger,4,3,Percent,20.0,9.2%,0.5%-97.7%,8.017879486083984,4.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Safe
Ian Ziering,4,3,Percent,24.0,11.0%,0.0%-97.2%,12.592575073242188,1.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Safe
Clyde Drexler,4,3,Percent,16.0,7.3%,2.3%-99.5%,5.736450672149658,6.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Safe
Laila Ali,4,3,Percent,21.0,9.6%,0.0%-97.2%,8.612377166748047,3.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Safe
Apolo Anton Ohno,4,3,Percent,23.0,10.6%,0.0%-97.2%,11.87497329711914,2.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Safe
Shandi Finnessey,4,3,Percent,21.0,9.6%,0.0%-10.4%,6.775638580322266,5.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Eliminated (Place 10)
Heather Mills,4,3,Percent,24.0,11.0%,0.0%-97.2%,12.592575073242188,1.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Safe
Billy Ray Cyrus,4,3,Percent,21.0,9.6%,0.0%-97.2%,8.612377166748047,3.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Safe
Joey Fatone,4,3,Percent,24.0,11.0%,0.0%-97.2%,12.592575073242188,1.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Safe
Leeza Gibbons,4,3,Percent,24.0,11.0%,0.0%-97.2%,12.592575073242188,1.0,0.1037690909113735,0.00012341483670752496,0.0,0.07793134450912476,0.02660759910941124,Safe
John Ratzenberger,4,4,Percent,16.0,8.4%,0.0%-99.5%,8.565211296081543,6.0,0.009688049936085007,9.965612662199419e-06,0.0,0.00016736984252929688,0.014539051800966263,Safe
Ian Ziering,4,4,Percent,24.0,12.6%,0.0%-99.5%,12.51336669921875,3.0,0.009688049936085007,9.965612662199419e-06,0.0,0.00016736984252929688,0.014539051800966263,Safe
Clyde Drexler,4,4,Percent,15.0,7.9%,0.5%-100.0%,8.124311447143555,8.0,0.009688049936085007,9.965612662199419e-06,0.0,0.00016736984252929688,0.014539051800966263,Safe
Laila Ali,4,4,Percent,21.0,11.1%,0.0%-99.5%,11.0374116897583,5.0,0.009688049936085007,9.965612662199419e-06,0.0,0.00016736984252929688,0.014539051800966263,Safe
Apolo Anton Ohno,4,4,Percent,26.0,13.7%,0.0%-99.5%,13.605612754821777,2.0,0.009688049936085007,9.965612662199419e-06,0.0,0.00016736984252929688,0.014539051800966263,Safe
Heather Mills,4,4,Percent,23.0,12.1%,0.0%-99.5%,12.045804977416992,4.0,0.009688049936085007,9.965612662199419e-06,0.0,0.00016736984252929688,0.014539051800966263,Safe
Billy Ray Cyrus,4,4,Percent,21.0,11.1%,0.0%-99.5%,11.0374116897583,5.0,0.009688049936085007,9.965612662199419e-06,0.0,0.00016736984252929688,0.014539051800966263,Safe
Joey Fatone,4,4,Percent,28.0,14.7%,0.0%-99.5%,14.579981803894043,1.0,0.009688049936085007,9.965612662199419e-06,0.0,0.00016736984252929688,0.014539051800966263,Safe
Leeza Gibbons,4,4,Percent,16.0,8.4%,0.0%-13.8%,8.49088191986084,7.0,0.009688049936085007,9.965612662199419e-06,0.0,0.00016736984252929688,0.014539051800966263,Eliminated (Place 9)
John Ratzenberger,4,5,Percent,18.0,10.2%,0.0%-100.0%,10.102644920349121,6.0,0.018425649777054787,0.0,0.0,0.0012151002883911133,0.02868424914777279,Safe
Ian Ziering,4,5,Percent,24.0,13.6%,0.0%-100.0%,13.719451904296875,4.0,0.018425649777054787,0.0,0.0,0.0012151002883911133,0.02868424914777279,Safe
Clyde Drexler,4,5,Percent,13.0,7.4%,0.0%-17.6%,6.662583351135254,8.0,0.018425649777054787,0.0,0.0,0.0012151002883911133,0.02868424914777279,Eliminated (Place 8)
Laila Ali,4,5,Percent,28.0,15.9%,0.0%-100.0%,16.11577033996582,2.0,0.018425649777054787,0.0,0.0,0.0012151002883911133,0.02868424914777279,Safe
Apolo Anton Ohno,4,5,Percent,30.0,17.0%,0.0%-100.0%,17.873748779296875,1.0,0.018425649777054787,0.0,0.0,0.0012151002883911133,0.02868424914777279,Safe
Heather Mills,4,5,Percent,21.0,11.9%,0.0%-100.0%,11.90552043914795,5.0,0.018425649777054787,0.0,0.0,0.0012151002883911133,0.02868424914777279,Safe
Billy Ray Cyrus,4,5,Percent,17.0,9.7%,0.0%-100.0%,9.447915077209473,7.0,0.018425649777054787,0.0,0.0,0.0012151002883911133,0.02868424914777279,Safe
Joey Fatone,4,5,Percent,25.0,14.2%,0.0%-100.0%,14.172368049621582,3.0,0.018425649777054787,0.0,0.0,0.0012151002883911133,0.02868424914777279,Safe
John Ratzenberger,4,6,Percent,19.0,11.2%,2.4%-98.8%,6.755128383636475,6.0,0.09830544167198241,0.00022875536524225026,0.0,0.039774537086486816,0.06705079227685928,Safe
Ian Ziering,4,6,Percent,24.0,14.1%,0.0%-96.5%,14.209517478942871,3.0,0.09830544167198241,0.00022875536524225026,0.0,0.039774537086486816,0.06705079227685928,Safe
Laila Ali,4,6,Percent,28.0,16.5%,0.0%-96.5%,21.520214080810547,1.0,0.09830544167198241,0.00022875536524225026,0.0,0.039774537086486816,0.06705079227685928,Safe
