CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma
Joey McIntyre,1,5,Rank,22.5,3,1-3,,,,,,,,,Eliminated (Place 3),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
John O'Hurley,1,6,Rank,27.0,2,1-2,,,,,,,,,Eliminated (Place 2),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kelly Monaco,1,6,Rank,27.5,1,1-2,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tatum O'Neal,2,1,Rank,23.0,2,1-10,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tia Carrere,2,1,Rank,20.0,5,1-10,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
George Hamilton,2,1,Rank,18.0,7,1-10,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Lisa Rinna,2,1,Rank,19.0,6,1-10,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Stacy Keibler,2,1,Rank,22.0,3,1-10,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Rice,2,1,Rank,21.0,4,1-10,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Giselle Fernandez,2,1,Rank,23.0,2,1-10,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Master P,2,1,Rank,12.0,9,1-9,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Drew Lachey,2,1,Rank,24.0,1,1-10,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Kenny Mayne,2,1,Rank,13.0,8,2-10,,,,,,,,,Eliminated (Place 10),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tatum O'Neal,2,2,Rank,17.0,7,2-9,,,,,,,,,Eliminated (Place 9),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tia Carrere,2,2,Rank,22.0,5,1-9,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
George Hamilton,2,2,Rank,22.0,5,1-9,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Lisa Rinna,2,2,Rank,20.0,6,1-9,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Stacy Keibler,2,2,Rank,29.0,1,1-9,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Rice,2,2,Rank,23.0,4,1-9,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Giselle Fernandez,2,2,Rank,24.0,3,1-9,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Master P,2,2,Rank,16.0,8,1-8,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Drew Lachey,2,2,Rank,27.0,2,1-9,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tia Carrere,2,3,Rank,26.0,2,1-8,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
George Hamilton,2,3,Rank,22.0,4,1-7,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Lisa Rinna,2,3,Rank,25.0,3,1-8,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Stacy Keibler,2,3,Rank,27.0,1,1-8,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Rice,2,3,Rank,19.0,5,1-6,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Giselle Fernandez,2,3,Rank,22.0,4,4-8,,,,,,,,,Eliminated (Place 8),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Master P,2,3,Rank,14.0,6,1-5,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Drew Lachey,2,3,Rank,27.0,1,1-8,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tia Carrere,2,4,Rank,25.0,3,1-7,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
George Hamilton,2,4,Rank,21.0,5,1-7,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Lisa Rinna,2,4,Rank,26.0,2,1-7,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Stacy Keibler,2,4,Rank,26.0,2,1-7,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Rice,2,4,Rank,24.0,4,1-7,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Master P,2,4,Rank,8.0,6,1-7,,,,,,,,,Eliminated (Place 7),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Drew Lachey,2,4,Rank,28.0,1,1-7,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tia Carrere,2,5,Rank,22.0,6,1-6,,,,,,,,,Eliminated (Place 6),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
George Hamilton,2,5,Rank,24.0,4,1-6,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Lisa Rinna,2,5,Rank,25.0,3,1-6,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Stacy Keibler,2,5,Rank,30.0,1,1-6,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Rice,2,5,Rank,23.0,5,1-6,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Drew Lachey,2,5,Rank,27.0,2,1-6,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
George Hamilton,2,6,Rank,23.0,3,2-5,,,,,,,,,Eliminated (Place 5),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Lisa Rinna,2,6,Rank,27.0,2,1-5,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Stacy Keibler,2,6,Rank,30.0,1,1-5,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Rice,2,6,Rank,23.0,3,1-4,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Drew Lachey,2,6,Rank,30.0,1,1-5,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Lisa Rinna,2,7,Rank,26.5,2,2-4,,,,,,,,,Eliminated (Place 4),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Stacy Keibler,2,7,Rank,27.5,1,1-4,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Rice,2,7,Rank,20.5,3,1-3,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Drew Lachey,2,7,Rank,27.5,1,1-4,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Stacy Keibler,2,8,Rank,28.6665,2,1-3,,,,,,,,,Eliminated (Place 3),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Rice,2,8,Rank,26.666600000000003,3,1-3,,,,,,,,,Eliminated (Place 2),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Drew Lachey,2,8,Rank,28.9998,1,1-3,,,,,,,,,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Harry Hamlin,3,1,Percent,17.0,8.0%,0.0%-100.0%,7.303304195404053,8.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Vivica A. Fox,3,1,Percent,22.0,10.4%,0.0%-100.0%,11.295446395874023,3.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Monique Coleman,3,1,Percent,19.0,9.0%,0.0%-100.0%,8.895356178283691,6.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Joey Lawrence,3,1,Percent,21.0,9.9%,0.0%-100.0%,10.298863410949707,5.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario Lopez,3,1,Percent,26.0,12.3%,0.0%-100.0%,14.249502182006836,1.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Emmitt Smith,3,1,Percent,24.0,11.3%,0.0%-100.0%,12.76665210723877,2.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Shanna Moakler,3,1,Percent,18.0,8.5%,0.0%-100.0%,8.104764938354492,7.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Willa Ford,3,1,Percent,22.0,10.4%,0.0%-100.0%,11.100021362304688,4.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Sara Evans,3,1,Percent,15.0,7.1%,0.0%-100.0%,5.734358310699463,10.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Withdrew,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Springer,3,1,Percent,16.0,7.5%,0.0%-100.0%,6.527504920959473,9.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Tucker Carlson,3,1,Percent,12.0,5.7%,0.0%-13.6%,3.724235773086548,11.0,0.10066902786493302,0.0,0.0,0.00043463706970214844,0.04561930149793625,0.3643140494823456,Eliminated (Place 11),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Harry Hamlin,3,2,Percent,21.0,9.1%,0.4%-98.3%,7.8077592849731445,8.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Vivica A. Fox,3,2,Percent,24.0,10.4%,0.0%-97.8%,11.12646770477295,4.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Monique Coleman,3,2,Percent,26.0,11.3%,0.0%-97.8%,13.396408081054688,2.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Joey Lawrence,3,2,Percent,29.0,12.6%,0.0%-97.8%,16.547962188720703,1.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario Lopez,3,2,Percent,21.0,9.1%,0.4%-98.3%,7.9899468421936035,7.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Emmitt Smith,3,2,Percent,24.0,10.4%,0.0%-97.8%,11.34423542022705,3.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Shanna Moakler,3,2,Percent,22.0,9.6%,0.0%-11.6%,8.235981941223145,6.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Eliminated (Place 10),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Willa Ford,3,2,Percent,23.0,10.0%,0.0%-97.8%,10.034242630004883,5.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Sara Evans,3,2,Percent,21.0,9.1%,0.0%-97.8%,7.477774620056152,9.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Withdrew,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Springer,3,2,Percent,19.0,8.3%,1.3%-99.1%,6.039226055145264,10.0,0.11731113572604954,0.0001683250447968021,0.0,0.004615604877471924,0.032233189791440964,0.39944806694984436,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Harry Hamlin,3,3,Percent,22.0,10.6%,0.0%-12.9%,8.894477844238281,5.0,0.11909254495985806,0.00019240229448769242,0.0,0.008464694023132324,0.02797531709074974,0.3922523856163025,Eliminated (Place 9),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Vivica A. Fox,3,3,Percent,27.0,13.0%,0.0%-98.1%,16.014963150024414,1.0,0.11909254495985806,0.00019240229448769242,0.0,0.008464694023132324,0.02797531709074974,0.3922523856163025,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Monique Coleman,3,3,Percent,27.0,13.0%,0.0%-98.1%,16.014963150024414,1.0,0.11909254495985806,0.00019240229448769242,0.0,0.008464694023132324,0.02797531709074974,0.3922523856163025,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Joey Lawrence,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.200189590454102,3.0,0.11909254495985806,0.00019240229448769242,0.0,0.008464694023132324,0.02797531709074974,0.3922523856163025,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario Lopez,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.200189590454102,3.0,0.11909254495985806,0.00019240229448769242,0.0,0.008464694023132324,0.02797531709074974,0.3922523856163025,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Emmitt Smith,3,3,Percent,19.0,9.2%,1.4%-99.5%,6.77402400970459,7.0,0.11909254495985806,0.00019240229448769242,0.0,0.008464694023132324,0.02797531709074974,0.3922523856163025,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Willa Ford,3,3,Percent,22.0,10.6%,0.0%-98.1%,9.826484680175781,4.0,0.11909254495985806,0.00019240229448769242,0.0,0.008464694023132324,0.02797531709074974,0.3922523856163025,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Sara Evans,3,3,Percent,25.0,12.1%,0.0%-98.1%,13.548734664916992,2.0,0.11909254495985806,0.00019240229448769242,0.0,0.008464694023132324,0.02797531709074974,0.3922523856163025,Withdrew,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Jerry Springer,3,3,Percent,21.0,10.1%,0.5%-98.6%,8.525981903076172,6.0,0.11909254495985806,0.00019240229448769242,0.0,0.008464694023132324,0.02797531709074974,0.3922523856163025,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Vivica A. Fox,3,4,Percent,24.0,12.1%,0.0%-15.0%,10.543957710266113,6.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.005473613739013672,0.03525526076555252,0.2907504737377167,Eliminated (Place 8),80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Monique Coleman,3,4,Percent,24.0,12.1%,0.0%-99.0%,11.88697338104248,4.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.005473613739013672,0.03525526076555252,0.2907504737377167,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Joey Lawrence,3,4,Percent,27.0,13.6%,0.0%-99.0%,15.401619911193848,3.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.005473613739013672,0.03525526076555252,0.2907504737377167,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Mario Lopez,3,4,Percent,29.0,14.6%,0.0%-99.0%,18.41812515258789,1.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.005473613739013672,0.03525526076555252,0.2907504737377167,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Emmitt Smith,3,4,Percent,24.0,12.1%,0.0%-99.0%,11.480013847351074,5.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.005473613739013672,0.03525526076555252,0.2907504737377167,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
Willa Ford,3,4,Percent,28.0,14.1%,0.0%-99.0%,16.881925582885742,2.0,0.0919656124582616,8.973897638497874e-05,4.814700787392212e-06,0.005473613739013672,0.03525526076555252,0.2907504737377167,Safe,80.0,2.0,1.0,0.6,0.2,700,0.06,1.0,0.45,longtail,0.28,1.5,0.8,0.0,0.03
