CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Loss_Trend,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_zeta_trend,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma,Percent_Predict,Rank_predict
Evander Holyfield,1,3,Rank,13.0,5,3-4,16.9,3.5,,,,,,,,Eliminated (Place 5),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,17.64705882352941,3.5
Rachel Hunter,1,3,Rank,26.0,1,2-5,16.9,3.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,20.588235294117645,3.0
Joey McIntyre,1,3,Rank,22.0,3,2-4,19.72,3.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,20.588235294117645,3.0
John O'Hurley,1,4,Rank,21.0,3,2-2,24.0,2.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,24.000000000000004,2.0
Kelly Monaco,1,4,Rank,26.0,1,3-3,16.0,3.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.0,3.0
Rachel Hunter,1,4,Rank,25.0,2,4-4,12.0,4.0,,,,,,,,Eliminated (Place 4),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,12.000000000000002,4.0
Joey McIntyre,1,4,Rank,20.0,4,1-1,48.0,1.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,48.00000000000001,1.0
John O'Hurley,1,5,Rank,27.0,1,2-3,25.53,2.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,30.000000000000004,2.0
Kelly Monaco,1,5,Rank,23.5,2,1-3,31.91,2.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,30.000000000000004,2.0
Joey McIntyre,1,5,Rank,22.5,3,1-2,42.56,1.5,,,,,,,,Eliminated (Place 3),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,40.0,1.5
John O'Hurley,1,6,Rank,27.0,2,1-2,50.0,1.5,,,,,,,,Eliminated (Place 2),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,50.0,1.5
Kelly Monaco,1,6,Rank,27.5,1,1-2,50.0,1.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,50.0,1.5
Tatum O'Neal,2,1,Rank,23.0,2,3-8,9.63,5.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,10.091100210231254,5.5
Tia Carrere,2,1,Rank,20.0,5,3-8,9.63,5.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,10.091100210231254,5.5
George Hamilton,2,1,Rank,18.0,7,3-7,10.59,5.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,10.091100210231254,5.5
Lisa Rinna,2,1,Rank,19.0,6,3-7,10.59,5.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,10.091100210231254,5.5
Stacy Keibler,2,1,Rank,22.0,3,3-8,9.63,5.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,10.091100210231254,5.5
Jerry Rice,2,1,Rank,21.0,4,3-8,9.63,5.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,10.091100210231254,5.5
Giselle Fernandez,2,1,Rank,23.0,2,3-8,9.63,5.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,10.091100210231254,5.5
Master P,2,1,Rank,12.0,9,2-5,15.15,3.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,12.333566923615976,4.5
Drew Lachey,2,1,Rank,24.0,1,3-8,9.63,5.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,10.091100210231254,5.5
Kenny Mayne,2,1,Rank,13.0,8,8-10,5.89,9.0,,,,,,,,Eliminated (Place 10),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,6.937631394533987,8.0
Tatum O'Neal,2,2,Rank,17.0,7,7-9,6.72,8.0,,,,,,,,Eliminated (Place 9),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,7.968127490039841,7.0
Tia Carrere,2,2,Rank,22.0,5,3-7,10.75,5.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.155378486055776,5.0
George Hamilton,2,2,Rank,22.0,5,3-7,10.75,5.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.155378486055776,5.0
Lisa Rinna,2,2,Rank,20.0,6,2-6,13.44,4.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.155378486055776,5.0
Stacy Keibler,2,2,Rank,29.0,1,3-7,10.75,5.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.155378486055776,5.0
Jerry Rice,2,2,Rank,23.0,4,3-7,10.75,5.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.155378486055776,5.0
Giselle Fernandez,2,2,Rank,24.0,3,3-7,10.75,5.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.155378486055776,5.0
Master P,2,2,Rank,16.0,8,2-5,15.34,3.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,13.94422310756972,4.0
Drew Lachey,2,2,Rank,27.0,2,3-7,10.75,5.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.155378486055776,5.0
Tia Carrere,2,3,Rank,26.0,2,3-6,10.7,4.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.027963765261914,4.5
George Hamilton,2,3,Rank,22.0,4,3-6,10.7,4.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,12.406459235919652,4.0
Lisa Rinna,2,3,Rank,25.0,3,3-6,10.7,4.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.027963765261914,4.5
Stacy Keibler,2,3,Rank,27.0,1,3-6,10.7,4.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.027963765261914,4.5
Jerry Rice,2,3,Rank,19.0,5,2-4,16.04,3.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.54194564789287,3.0
Giselle Fernandez,2,3,Rank,22.0,4,7-8,6.42,7.5,,,,,,,,Eliminated (Place 8),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,7.089405277668373,7.0
Master P,2,3,Rank,14.0,6,1-3,24.04,2.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,19.85033477747145,2.5
Drew Lachey,2,3,Rank,27.0,1,3-6,10.7,4.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,11.027963765261914,4.5
Tia Carrere,2,4,Rank,25.0,3,2-6,13.74,4.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,14.516129032258062,4.0
George Hamilton,2,4,Rank,21.0,5,2-4,18.34,3.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,14.516129032258062,4.0
Lisa Rinna,2,4,Rank,26.0,2,2-6,13.74,4.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,14.516129032258062,4.0
Stacy Keibler,2,4,Rank,26.0,2,2-6,13.74,4.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,14.516129032258062,4.0
Jerry Rice,2,4,Rank,24.0,4,2-5,15.71,3.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,14.516129032258062,4.0
Master P,2,4,Rank,8.0,6,4-6,10.99,5.0,,,,,,,,Eliminated (Place 7),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,12.903225806451612,4.5
Drew Lachey,2,4,Rank,28.0,1,2-6,13.74,4.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,14.516129032258062,4.0
Tia Carrere,2,5,Rank,22.0,6,4-6,11.6,5.0,,,,,,,,Eliminated (Place 6),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,14.893617021276595,4.0
George Hamilton,2,5,Rank,24.0,4,2-4,19.35,3.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,17.021276595744684,3.5
Lisa Rinna,2,5,Rank,25.0,3,2-5,16.57,3.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,17.021276595744684,3.5
Stacy Keibler,2,5,Rank,30.0,1,2-5,16.57,3.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,17.021276595744684,3.5
Jerry Rice,2,5,Rank,23.0,5,2-4,19.34,3.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,17.021276595744684,3.5
Drew Lachey,2,5,Rank,27.0,2,2-5,16.57,3.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,17.021276595744684,3.5
George Hamilton,2,6,Rank,23.0,3,4-5,12.9,4.5,,,,,,,,Eliminated (Place 5),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.94915254237288,3.5
Lisa Rinna,2,6,Rank,27.0,2,2-4,19.35,3.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,19.774011299435028,3.0
Stacy Keibler,2,6,Rank,30.0,1,2-4,19.35,3.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,19.774011299435028,3.0
Jerry Rice,2,6,Rank,23.0,3,1-3,29.05,2.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,23.728813559322035,2.5
Drew Lachey,2,6,Rank,30.0,1,2-4,19.35,3.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,19.774011299435028,3.0
Lisa Rinna,2,7,Rank,26.5,2,3-4,16.3,3.5,,,,,,,,Eliminated (Place 4),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,16.304347826086957,3.5
Stacy Keibler,2,7,Rank,27.5,1,2-3,22.83,2.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,22.826086956521745,2.5
Jerry Rice,2,7,Rank,20.5,3,1-2,38.04,1.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,38.04347826086956,1.5
Drew Lachey,2,7,Rank,27.5,1,2-3,22.83,2.5,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,22.826086956521745,2.5
Stacy Keibler,2,8,Rank,28.6665,2,1-3,30.0,2.0,,,,,,,,Eliminated (Place 3),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,33.33333333333333,2.0
Jerry Rice,2,8,Rank,26.666600000000003,3,1-2,40.0,1.5,,,,,,,,Eliminated (Place 2),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,33.33333333333333,2.0
Drew Lachey,2,8,Rank,28.9998,1,1-3,30.0,2.0,,,,,,,,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,33.33333333333333,2.0
Harry Hamlin,3,1,Percent,17.0,8.0%,0.4%-11.8%,3.66,9.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Vivica A. Fox,3,1,Percent,22.0,10.4%,1.1%-16.7%,7.81,6.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Monique Coleman,3,1,Percent,19.0,9.0%,0.8%-15.9%,6.02,8.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Joey Lawrence,3,1,Percent,21.0,9.9%,3.2%-23.8%,13.52,3.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mario Lopez,3,1,Percent,26.0,12.3%,15.7%-43.2%,22.94,1.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,1,Percent,24.0,11.3%,1.5%-20.4%,10.13,5.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Shanna Moakler,3,1,Percent,18.0,8.5%,1.6%-20.9%,11.05,4.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Willa Ford,3,1,Percent,22.0,10.4%,3.0%-24.6%,14.4,2.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sara Evans,3,1,Percent,15.0,7.1%,0.2%-9.7%,2.16,10.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Withdrew,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jerry Springer,3,1,Percent,16.0,7.5%,1.0%-17.6%,7.46,7.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Tucker Carlson,3,1,Percent,12.0,5.7%,0.1%-8.5%,0.84,11.0,2.667376518249512,0.0,0.0,0.1616657376289367,0.1772821247577667,0.2138061821460724,0.0927512645721435,Eliminated (Place 11),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Harry Hamlin,3,2,Percent,21.0,9.1%,0.4%-14.4%,3.67,9.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Vivica A. Fox,3,2,Percent,24.0,10.4%,0.9%-18.8%,6.77,7.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Monique Coleman,3,2,Percent,26.0,11.3%,1.7%-26.9%,11.43,4.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Joey Lawrence,3,2,Percent,29.0,12.6%,9.5%-52.6%,21.06,1.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Mario Lopez,3,2,Percent,21.0,9.1%,5.4%-43.7%,17.99,2.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Emmitt Smith,3,2,Percent,24.0,10.4%,1.1%-22.9%,8.39,6.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Shanna Moakler,3,2,Percent,22.0,9.6%,1.3%-16.4%,9.28,5.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Eliminated (Place 10),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Willa Ford,3,2,Percent,23.0,10.0%,2.1%-29.6%,13.26,3.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sara Evans,3,2,Percent,21.0,9.1%,0.2%-13.5%,2.01,10.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Withdrew,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jerry Springer,3,2,Percent,19.0,8.3%,0.8%-19.8%,6.14,8.0,4.909804148599505,0.000735945184715,0.0,0.4035394787788391,0.1268678903579712,0.2093704342842102,0.2320374846458435,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Harry Hamlin,3,3,Percent,22.0,10.6%,0.3%-13.3%,3.01,8.0,6.175277203161386,0.0001274141250178,8.230340608861297e-05,0.6838529706001282,0.1445528268814087,0.1694624125957489,0.2511758208274841,Eliminated (Place 9),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Vivica A. Fox,3,3,Percent,27.0,13.0%,1.6%-34.7%,11.33,5.0,6.175277203161386,0.0001274141250178,8.230340608861297e-05,0.6838529706001282,0.1445528268814087,0.1694624125957489,0.2511758208274841,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Monique Coleman,3,3,Percent,27.0,13.0%,2.7%-39.8%,16.62,2.0,6.175277203161386,0.0001274141250178,8.230340608861297e-05,0.6838529706001282,0.1445528268814087,0.1694624125957489,0.2511758208274841,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Joey Lawrence,3,3,Percent,22.0,10.6%,2.3%-39.1%,14.78,3.0,6.175277203161386,0.0001274141250178,8.230340608861297e-05,0.6838529706001282,0.1445528268814087,0.1694624125957489,0.2511758208274841,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
