CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Status
Master P,2,1,Rank,12.0,9,1-9,,,,,,,,Safe
Drew Lachey,2,1,Rank,24.0,1,1-10,,,,,,,,Safe
Kenny Mayne,2,1,Rank,13.0,8,2-10,,,,,,,,Eliminated (Place 10)
Tatum O'Neal,2,2,Rank,17.0,7,2-9,,,,,,,,Eliminated (Place 9)
Tia Carrere,2,2,Rank,22.0,5,1-9,,,,,,,,Safe
George Hamilton,2,2,Rank,22.0,5,1-9,,,,,,,,Safe
Lisa Rinna,2,2,Rank,20.0,6,1-9,,,,,,,,Safe
Stacy Keibler,2,2,Rank,29.0,1,1-9,,,,,,,,Safe
Jerry Rice,2,2,Rank,23.0,4,1-9,,,,,,,,Safe
Giselle Fernandez,2,2,Rank,24.0,3,1-9,,,,,,,,Safe
Master P,2,2,Rank,16.0,8,1-8,,,,,,,,Safe
Drew Lachey,2,2,Rank,27.0,2,1-9,,,,,,,,Safe
Tia Carrere,2,3,Rank,26.0,2,1-8,,,,,,,,Safe
George Hamilton,2,3,Rank,22.0,4,1-7,,,,,,,,Safe
Lisa Rinna,2,3,Rank,25.0,3,1-8,,,,,,,,Safe
Stacy Keibler,2,3,Rank,27.0,1,1-8,,,,,,,,Safe
Jerry Rice,2,3,Rank,19.0,5,1-6,,,,,,,,Safe
Giselle Fernandez,2,3,Rank,22.0,4,4-8,,,,,,,,Eliminated (Place 8)
Master P,2,3,Rank,14.0,6,1-5,,,,,,,,Safe
Drew Lachey,2,3,Rank,27.0,1,1-8,,,,,,,,Safe
Tia Carrere,2,4,Rank,25.0,3,1-7,,,,,,,,Safe
George Hamilton,2,4,Rank,21.0,5,1-7,,,,,,,,Safe
Lisa Rinna,2,4,Rank,26.0,2,1-7,,,,,,,,Safe
Stacy Keibler,2,4,Rank,26.0,2,1-7,,,,,,,,Safe
Jerry Rice,2,4,Rank,24.0,4,1-7,,,,,,,,Safe
Master P,2,4,Rank,8.0,6,1-7,,,,,,,,Eliminated (Place 7)
Drew Lachey,2,4,Rank,28.0,1,1-7,,,,,,,,Safe
Tia Carrere,2,5,Rank,22.0,6,1-6,,,,,,,,Eliminated (Place 6)
George Hamilton,2,5,Rank,24.0,4,1-6,,,,,,,,Safe
Lisa Rinna,2,5,Rank,25.0,3,1-6,,,,,,,,Safe
Stacy Keibler,2,5,Rank,30.0,1,1-6,,,,,,,,Safe
Jerry Rice,2,5,Rank,23.0,5,1-6,,,,,,,,Safe
Drew Lachey,2,5,Rank,27.0,2,1-6,,,,,,,,Safe
George Hamilton,2,6,Rank,23.0,3,2-5,,,,,,,,Eliminated (Place 5)
Lisa Rinna,2,6,Rank,27.0,2,1-5,,,,,,,,Safe
Stacy Keibler,2,6,Rank,30.0,1,1-5,,,,,,,,Safe
Jerry Rice,2,6,Rank,23.0,3,1-4,,,,,,,,Safe
Drew Lachey,2,6,Rank,30.0,1,1-5,,,,,,,,Safe
Lisa Rinna,2,7,Rank,26.5,2,2-4,,,,,,,,Eliminated (Place 4)
Stacy Keibler,2,7,Rank,27.5,1,1-4,,,,,,,,Safe
Jerry Rice,2,7,Rank,20.5,3,1-3,,,,,,,,Safe
Drew Lachey,2,7,Rank,27.5,1,1-4,,,,,,,,Safe
Stacy Keibler,2,8,Rank,28.6665,2,1-3,,,,,,,,Eliminated (Place 3)
Jerry Rice,2,8,Rank,26.666600000000003,3,1-3,,,,,,,,Eliminated (Place 2)
Drew Lachey,2,8,Rank,28.9998,1,1-3,,,,,,,,Safe
Harry Hamlin,3,1,Percent,17.0,8.0%,0.0%-100.0%,8.776863098144531,7.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Safe
Vivica A. Fox,3,1,Percent,22.0,10.4%,0.0%-100.0%,9.472046852111816,3.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Safe
Monique Coleman,3,1,Percent,19.0,9.0%,0.0%-100.0%,9.052947044372559,5.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Safe
Joey Lawrence,3,1,Percent,21.0,9.9%,0.0%-100.0%,9.328449249267578,4.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Safe
Mario Lopez,3,1,Percent,26.0,12.3%,0.0%-100.0%,10.021515846252441,1.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Safe
Emmitt Smith,3,1,Percent,24.0,11.3%,0.0%-100.0%,9.742692947387695,2.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Safe
Shanna Moakler,3,1,Percent,18.0,8.5%,0.0%-100.0%,8.911659240722656,6.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Safe
Willa Ford,3,1,Percent,22.0,10.4%,0.0%-100.0%,9.472046852111816,3.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Safe
Sara Evans,3,1,Percent,15.0,7.1%,0.0%-100.0%,8.497482299804688,9.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Withdrew
Jerry Springer,3,1,Percent,16.0,7.5%,0.0%-100.0%,8.636207580566406,8.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Safe
Tucker Carlson,3,1,Percent,12.0,5.7%,0.0%-13.6%,8.088083267211914,10.0,0.0008604342117905616,0.0,0.0,1.0013580322265625e-05,0.0014173677191138268,Eliminated (Place 11)
Harry Hamlin,3,2,Percent,21.0,9.1%,0.4%-98.3%,9.264923095703125,6.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Safe
Vivica A. Fox,3,2,Percent,24.0,10.4%,0.0%-97.8%,10.371816635131836,3.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Safe
Monique Coleman,3,2,Percent,26.0,11.3%,0.0%-97.8%,11.125164031982422,2.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Safe
Joey Lawrence,3,2,Percent,29.0,12.6%,0.0%-97.8%,12.236233711242676,1.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Safe
Mario Lopez,3,2,Percent,21.0,9.1%,0.4%-98.3%,9.264923095703125,6.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Safe
Emmitt Smith,3,2,Percent,24.0,10.4%,0.0%-97.8%,10.371816635131836,3.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Safe
Shanna Moakler,3,2,Percent,22.0,9.6%,0.0%-11.6%,9.550440788269043,5.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Eliminated (Place 10)
Willa Ford,3,2,Percent,23.0,10.0%,0.0%-97.8%,10.016061782836914,4.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Safe
Sara Evans,3,2,Percent,21.0,9.1%,0.0%-97.8%,9.24749755859375,7.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Withdrew
Jerry Springer,3,2,Percent,19.0,8.3%,1.3%-99.1%,8.551115989685059,8.0,0.009030055603943765,7.930717401904985e-05,0.0,0.000386655330657959,0.0038313772529363632,Safe
Harry Hamlin,3,3,Percent,22.0,10.6%,0.0%-12.9%,10.400482177734375,4.0,0.014517193473875523,0.00012599152978509665,0.0,0.0009581446647644043,0.005799544043838978,Eliminated (Place 9)
Vivica A. Fox,3,3,Percent,27.0,13.0%,0.0%-98.1%,13.31475830078125,1.0,0.014517193473875523,0.00012599152978509665,0.0,0.0009581446647644043,0.005799544043838978,Safe
Monique Coleman,3,3,Percent,27.0,13.0%,0.0%-98.1%,13.31475830078125,1.0,0.014517193473875523,0.00012599152978509665,0.0,0.0009581446647644043,0.005799544043838978,Safe
Joey Lawrence,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.567919731140137,3.0,0.014517193473875523,0.00012599152978509665,0.0,0.0009581446647644043,0.005799544043838978,Safe
Mario Lopez,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.567919731140137,3.0,0.014517193473875523,0.00012599152978509665,0.0,0.0009581446647644043,0.005799544043838978,Safe
Emmitt Smith,3,3,Percent,19.0,9.2%,1.4%-99.5%,9.001330375671387,6.0,0.014517193473875523,0.00012599152978509665,0.0,0.0009581446647644043,0.005799544043838978,Safe
Willa Ford,3,3,Percent,22.0,10.6%,0.0%-98.1%,10.567919731140137,3.0,0.014517193473875523,0.00012599152978509665,0.0,0.0009581446647644043,0.005799544043838978,Safe
Sara Evans,3,3,Percent,25.0,12.1%,0.0%-98.1%,12.221505165100098,2.0,0.014517193473875523,0.00012599152978509665,0.0,0.0009581446647644043,0.005799544043838978,Withdrew
Jerry Springer,3,3,Percent,21.0,10.1%,0.5%-98.6%,10.043407440185547,5.0,0.014517193473875523,0.00012599152978509665,0.0,0.0009581446647644043,0.005799544043838978,Safe
Vivica A. Fox,3,4,Percent,24.0,12.1%,0.0%-15.0%,9.834931373596191,5.0,0.047126466229383365,8.887181320460513e-05,1.9503004295984283e-05,0.007476747035980225,0.054168280214071274,Eliminated (Place 8)
Monique Coleman,3,4,Percent,24.0,12.1%,0.0%-99.0%,11.357226371765137,4.0,0.047126466229383365,8.887181320460513e-05,1.9503004295984283e-05,0.007476747035980225,0.054168280214071274,Safe
Joey Lawrence,3,4,Percent,27.0,13.6%,0.0%-99.0%,16.60281753540039,3.0,0.047126466229383365,8.887181320460513e-05,1.9503004295984283e-05,0.007476747035980225,0.054168280214071274,Safe
Mario Lopez,3,4,Percent,29.0,14.6%,0.0%-99.0%,19.33626365661621,1.0,0.047126466229383365,8.887181320460513e-05,1.9503004295984283e-05,0.007476747035980225,0.054168280214071274,Safe
Emmitt Smith,3,4,Percent,24.0,12.1%,0.0%-99.0%,11.357226371765137,4.0,0.047126466229383365,8.887181320460513e-05,1.9503004295984283e-05,0.007476747035980225,0.054168280214071274,Safe
Willa Ford,3,4,Percent,28.0,14.1%,0.0%-99.0%,18.11402130126953,2.0,0.047126466229383365,8.887181320460513e-05,1.9503004295984283e-05,0.007476747035980225,0.054168280214071274,Safe
Sara Evans,3,4,Percent,20.0,10.1%,0.0%-99.0%,4.861656665802002,7.0,0.047126466229383365,8.887181320460513e-05,1.9503004295984283e-05,0.007476747035980225,0.054168280214071274,Withdrew
Jerry Springer,3,4,Percent,22.0,11.1%,1.0%-100.0%,8.535852432250977,6.0,0.047126466229383365,8.887181320460513e-05,1.9503004295984283e-05,0.007476747035980225,0.054168280214071274,Safe
Monique Coleman,3,5,Percent,27.0,14.9%,0.0%-97.2%,15.610482215881348,1.0,0.05376335959881544,0.0006038525025360286,0.0,0.0032347440719604492,0.00370069220662117,Safe
Joey Lawrence,3,5,Percent,25.0,13.8%,1.1%-98.3%,13.349735260009766,3.0,0.05376335959881544,0.0006038525025360286,0.0,0.0032347440719604492,0.00370069220662117,Safe
Mario Lopez,3,5,Percent,27.0,14.9%,0.0%-97.2%,15.610482215881348,1.0,0.05376335959881544,0.0006038525025360286,0.0,0.0032347440719604492,0.00370069220662117,Safe
Emmitt Smith,3,5,Percent,27.0,14.9%,0.0%-97.2%,15.610482215881348,1.0,0.05376335959881544,0.0006038525025360286,0.0,0.0032347440719604492,0.00370069220662117,Safe
Willa Ford,3,5,Percent,27.0,14.9%,0.0%-16.2%,15.253494262695312,2.0,0.05376335959881544,0.0006038525025360286,0.0,0.0032347440719604492,0.00370069220662117,Eliminated (Place 7)
Sara Evans,3,5,Percent,24.0,13.3%,0.0%-97.2%,12.252217292785645,5.0,0.05376335959881544,0.0006038525025360286,0.0,0.0032347440719604492,0.00370069220662117,Withdrew
Jerry Springer,3,5,Percent,24.0,13.3%,1.7%-98.9%,12.3131103515625,4.0,0.05376335959881544,0.0006038525025360286,0.0,0.0032347440719604492,0.00370069220662117,Safe
Monique Coleman,3,6,Percent,23.0,19.5%,0.0%-100.0%,19.646711349487305,4.0,0.0017977193929255009,0.0,0.0,7.927417755126953e-06,0.0029829866252839565,Safe
Joey Lawrence,3,6,Percent,24.0,20.3%,0.0%-100.0%,20.23200035095215,3.0,0.0017977193929255009,0.0,0.0,7.927417755126953e-06,0.0029829866252839565,Safe
Mario Lopez,3,6,Percent,28.0,23.7%,0.0%-100.0%,22.63304328918457,1.0,0.0017977193929255009,0.0,0.0,7.927417755126953e-06,0.0029829866252839565,Safe
Emmitt Smith,3,6,Percent,25.0,21.2%,0.0%-100.0%,20.823230743408203,2.0,0.0017977193929255009,0.0,0.0,7.927417755126953e-06,0.0029829866252839565,Safe
Jerry Springer,3,6,Percent,18.0,15.3%,0.0%-100.0%,16.665006637573242,5.0,0.0017977193929255009,0.0,0.0,7.927417755126953e-06,0.0029829866252839565,Safe
Monique Coleman,3,7,Percent,27.0,20.0%,0.0%-100.0%,19.972190856933594,3.0,0.0019237401895225048,0.0,0.0,0.0017368793487548828,0.0003114347346127033,Safe
Joey Lawrence,3,7,Percent,28.5,21.1%,0.0%-100.0%,20.492950439453125,1.0,0.0019237401895225048,0.0,0.0,0.0017368793487548828,0.0003114347346127033,Safe
Mario Lopez,3,7,Percent,28.0,20.7%,0.0%-100.0%,20.24650764465332,2.0,0.0019237401895225048,0.0,0.0,0.0017368793487548828,0.0003114347346127033,Safe
Emmitt Smith,3,7,Percent,28.5,21.1%,0.0%-100.0%,20.492950439453125,1.0,0.0019237401895225048,0.0,0.0,0.0017368793487548828,0.0003114347346127033,Safe
Jerry Springer,3,7,Percent,23.0,17.0%,0.0%-23.0%,18.795400619506836,4.0,0.0019237401895225048,0.0,0.0,0.0017368793487548828,0.0003114347346127033,Eliminated (Place 5)
Monique Coleman,3,8,Percent,26.5,24.3%,0.0%-25.7%,23.515520095825195,3.0,0.000571838952600956,0.0,0.0,5.960464477539063e-08,0.0009529655799269676,Eliminated (Place 4)
Joey Lawrence,3,8,Percent,27.0,24.8%,0.0%-100.0%,24.50596046447754,2.0,0.000571838952600956,0.0,0.0,5.960464477539063e-08,0.0009529655799269676,Safe
Mario Lopez,3,8,Percent,28.5,26.1%,0.0%-100.0%,27.472553253173828,1.0,0.000571838952600956,0.0,0.0,5.960464477539063e-08,0.0009529655799269676,Safe
Emmitt Smith,3,8,Percent,27.0,24.8%,0.0%-100.0%,24.50596046447754,2.0,0.000571838952600956,0.0,0.0,5.960464477539063e-08,0.0009529655799269676,Safe
Joey Lawrence,3,9,Percent,29.5,33.3%,0.0%-33.3%,33.333335876464844,1.0,1.0,0.0,0.0,1.0,0.0,Eliminated (Place 3)
Mario Lopez,3,9,Percent,29.5,33.3%,0.0%-100.0%,33.333335876464844,1.0,1.0,0.0,0.0,1.0,0.0,Safe
Emmitt Smith,3,9,Percent,29.5,33.3%,0.0%-100.0%,33.333335876464844,1.0,1.0,0.0,0.0,1.0,0.0,Safe
Mario Lopez,3,10,Percent,29.666600000000003,50.0%,0.0%-50.0%,50.0,1.0,1.0,0.0,0.0,1.0,0.0,Eliminated (Place 2)
Emmitt Smith,3,10,Percent,29.666600000000003,50.0%,50.0%-100.0%,50.0,1.0,1.0,0.0,0.0,1.0,0.0,Safe
John Ratzenberger,4,1,Percent,17.0,8.3%,0.0%-100.0%,8.017906188964844,6.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Ian Ziering,4,1,Percent,21.0,10.2%,0.0%-100.0%,10.546738624572754,3.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Clyde Drexler,4,1,Percent,16.0,7.8%,0.0%-100.0%,7.418149948120117,7.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Laila Ali,4,1,Percent,23.0,11.2%,0.0%-100.0%,11.77430248260498,2.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Apolo Anton Ohno,4,1,Percent,21.0,10.2%,0.0%-100.0%,10.546738624572754,3.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Shandi Finnessey,4,1,Percent,19.0,9.2%,0.0%-100.0%,9.254473686218262,4.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Paulina Porizkova,4,1,Percent,19.0,9.2%,0.0%-100.0%,9.254473686218262,4.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Heather Mills,4,1,Percent,18.0,8.7%,0.0%-100.0%,8.632280349731445,5.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Billy Ray Cyrus,4,1,Percent,13.0,6.3%,0.0%-100.0%,5.504428386688232,9.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Joey Fatone,4,1,Percent,24.0,11.7%,0.0%-100.0%,12.312851905822754,1.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
Leeza Gibbons,4,1,Percent,15.0,7.3%,0.0%-100.0%,6.73765754699707,8.0,0.011748718470335007,0.0,0.0,0.00010877847671508789,0.01939989998936653,Safe
John Ratzenberger,4,2,Percent,21.0,8.6%,0.0%-98.4%,8.254213333129883,6.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
Ian Ziering,4,2,Percent,22.0,9.0%,0.0%-98.4%,8.906396865844727,5.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
Clyde Drexler,4,2,Percent,18.0,7.3%,1.2%-99.6%,6.33760929107666,9.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
Laila Ali,4,2,Percent,27.0,11.0%,0.0%-98.4%,12.25181770324707,1.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
Apolo Anton Ohno,4,2,Percent,26.0,10.6%,0.0%-98.4%,11.592982292175293,2.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
Shandi Finnessey,4,2,Percent,20.0,8.2%,0.4%-98.8%,7.597923278808594,8.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
Paulina Porizkova,4,2,Percent,21.0,8.6%,0.0%-9.6%,8.022272109985352,7.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Eliminated (Place 11)
Heather Mills,4,2,Percent,24.0,9.8%,0.0%-98.4%,10.251073837280273,4.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
Billy Ray Cyrus,4,2,Percent,21.0,8.6%,0.0%-98.4%,8.254213333129883,6.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
Joey Fatone,4,2,Percent,24.0,9.8%,0.0%-98.4%,10.277278900146484,3.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
Leeza Gibbons,4,2,Percent,21.0,8.6%,0.0%-98.4%,8.254213333129883,6.0,0.01626005512662232,9.156252781394869e-05,0.0,0.0009368062019348145,0.013330411165952682,Safe
John Ratzenberger,4,3,Percent,20.0,9.2%,0.5%-97.7%,7.157365798950195,4.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Safe
Ian Ziering,4,3,Percent,24.0,11.0%,0.0%-97.2%,15.592930793762207,1.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Safe
Clyde Drexler,4,3,Percent,16.0,7.3%,2.3%-99.5%,3.946993589401245,6.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Safe
Laila Ali,4,3,Percent,21.0,9.6%,0.0%-97.2%,5.237097263336182,5.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Safe
Apolo Anton Ohno,4,3,Percent,23.0,10.6%,0.0%-97.2%,8.702432632446289,2.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Safe
Shandi Finnessey,4,3,Percent,21.0,9.6%,0.0%-10.4%,7.34733247756958,3.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Eliminated (Place 10)
Heather Mills,4,3,Percent,24.0,11.0%,0.0%-97.2%,15.592930793762207,1.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Safe
Billy Ray Cyrus,4,3,Percent,21.0,9.6%,0.0%-97.2%,5.237053871154785,5.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Safe
Joey Fatone,4,3,Percent,24.0,11.0%,0.0%-97.2%,15.592930793762207,1.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Safe
Leeza Gibbons,4,3,Percent,24.0,11.0%,0.0%-97.2%,15.592930793762207,1.0,0.24382390112623398,0.000463865086203441,7.899864613136742e-06,0.15493565797805786,0.08627206087112427,Safe
John Ratzenberger,4,4,Percent,16.0,8.4%,0.0%-99.5%,8.422378540039062,6.0,0.011276637719129212,1.0203243618889246e-05,0.0,0.0005151629447937012,0.01657535880804062,Safe
Ian Ziering,4,4,Percent,24.0,12.6%,0.0%-99.5%,12.643915176391602,3.0,0.011276637719129212,1.0203243618889246e-05,0.0,0.0005151629447937012,0.01657535880804062,Safe
Clyde Drexler,4,4,Percent,15.0,7.9%,0.5%-100.0%,7.901974201202393,8.0,0.011276637719129212,1.0203243618889246e-05,0.0,0.0005151629447937012,0.01657535880804062,Safe
Laila Ali,4,4,Percent,21.0,11.1%,0.0%-99.5%,11.097146987915039,5.0,0.011276637719129212,1.0203243618889246e-05,0.0,0.0005151629447937012,0.01657535880804062,Safe
Apolo Anton Ohno,4,4,Percent,26.0,13.7%,0.0%-99.5%,13.82949161529541,2.0,0.011276637719129212,1.0203243618889246e-05,0.0,0.0005151629447937012,0.01657535880804062,Safe
Heather Mills,4,4,Percent,23.0,12.1%,0.0%-99.5%,11.987447738647461,4.0,0.011276637719129212,1.0203243618889246e-05,0.0,0.0005151629447937012,0.01657535880804062,Safe
Billy Ray Cyrus,4,4,Percent,21.0,11.1%,0.0%-99.5%,11.097146987915039,5.0,0.011276637719129212,1.0203243618889246e-05,0.0,0.0005151629447937012,0.01657535880804062,Safe
Joey Fatone,4,4,Percent,28.0,14.7%,0.0%-99.5%,14.741377830505371,1.0,0.011276637719129212,1.0203243618889246e-05,0.0,0.0005151629447937012,0.01657535880804062,Safe
Leeza Gibbons,4,4,Percent,16.0,8.4%,0.0%-13.8%,8.279128074645996,7.0,0.011276637719129212,1.0203243618889246e-05,0.0,0.0005151629447937012,0.01657535880804062,Eliminated (Place 9)
John Ratzenberger,4,5,Percent,18.0,10.2%,0.0%-100.0%,12.32730770111084,6.0,0.08958657719194889,0.0,0.0,0.08890438079833984,0.0011369939893484116,Safe
Ian Ziering,4,5,Percent,24.0,13.6%,0.0%-100.0%,12.856449127197266,3.0,0.08958657719194889,0.0,0.0,0.08890438079833984,0.0011369939893484116,Safe
Clyde Drexler,4,5,Percent,13.0,7.4%,0.0%-17.6%,11.06575870513916,8.0,0.08958657719194889,0.0,0.0,0.08890438079833984,0.0011369939893484116,Eliminated (Place 8)
Laila Ali,4,5,Percent,28.0,15.9%,0.0%-100.0%,12.620893478393555,4.0,0.08958657719194889,0.0,0.0,0.08890438079833984,0.0011369939893484116,Safe
Apolo Anton Ohno,4,5,Percent,30.0,17.0%,0.0%-100.0%,13.598791122436523,1.0,0.08958657719194889,0.0,0.0,0.08890438079833984,0.0011369939893484116,Safe
Heather Mills,4,5,Percent,21.0,11.9%,0.0%-100.0%,12.443657875061035,5.0,0.08958657719194889,0.0,0.0,0.08890438079833984,0.0011369939893484116,Safe
Billy Ray Cyrus,4,5,Percent,17.0,9.7%,0.0%-100.0%,12.048043251037598,7.0,0.08958657719194889,0.0,0.0,0.08890438079833984,0.0011369939893484116,Safe
Joey Fatone,4,5,Percent,25.0,14.2%,0.0%-100.0%,13.039093971252441,2.0,0.08958657719194889,0.0,0.0,0.08890438079833984,0.0011369939893484116,Safe
John Ratzenberger,4,6,Percent,19.0,11.2%,2.4%-98.8%,4.337810516357422,6.0,0.13210654155554946,0.00026796114980243146,4.836218067794107e-05,0.042790114879608154,0.11297135055065155,Safe
