CelebrityName,Season,Week,RuleType,Possible_Audience_Vote_Range,Uncertainty_Range_Min,Uncertainty_Range_Max,Uncertainty_Range_Width,Uncertainty_Index
Stacy Keibler,2,3,Rank,3-6,3,6,3,0.428571
Jerry Rice,2,3,Rank,2-4,2,4,2,0.285714
Giselle Fernandez,2,3,Rank,7-8,7,8,1,0.142857
Master P,2,3,Rank,1-3,1,3,2,0.285714
Drew Lachey,2,3,Rank,3-6,3,6,3,0.428571
Tia Carrere,2,4,Rank,2-6,2,6,4,0.666667
George Hamilton,2,4,Rank,2-4,2,4,2,0.333333
Lisa Rinna,2,4,Rank,2-6,2,6,4,0.666667
Stacy Keibler,2,4,Rank,2-6,2,6,4,0.666667
Jerry Rice,2,4,Rank,2-5,2,5,3,0.5
Master P,2,4,Rank,4-6,4,6,2,0.333333
Drew Lachey,2,4,Rank,2-6,2,6,4,0.666667
Tia Carrere,2,5,Rank,4-6,4,6,2,0.4
George Hamilton,2,5,Rank,2-4,2,4,2,0.4
Lisa Rinna,2,5,Rank,2-5,2,5,3,0.6
Stacy Keibler,2,5,Rank,2-5,2,5,3,0.6
Jerry Rice,2,5,Rank,2-4,2,4,2,0.4
Drew Lachey,2,5,Rank,2-5,2,5,3,0.6
George Hamilton,2,6,Rank,4-5,4,5,1,0.25
Lisa Rinna,2,6,Rank,2-4,2,4,2,0.5
Stacy Keibler,2,6,Rank,2-4,2,4,2,0.5
Jerry Rice,2,6,Rank,1-3,1,3,2,0.5
Drew Lachey,2,6,Rank,2-4,2,4,2,0.5
Lisa Rinna,2,7,Rank,3-4,3,4,1,0.333333
Stacy Keibler,2,7,Rank,2-3,2,3,1,0.333333
Jerry Rice,2,7,Rank,1-2,1,2,1,0.333333
Drew Lachey,2,7,Rank,2-3,2,3,1,0.333333
Stacy Keibler,2,8,Rank,1-3,1,3,2,1
Jerry Rice,2,8,Rank,1-2,1,2,1,0.5
Drew Lachey,2,8,Rank,1-3,1,3,2,1
Harry Hamlin,3,1,Percent,3.7%-3.7%,3.7,3.7,0,0
Vivica A. Fox,3,1,Percent,7.8%-7.8%,7.8,7.8,0,0
Monique Coleman,3,1,Percent,6.0%-6.0%,6,6,0,0
Joey Lawrence,3,1,Percent,13.5%-13.5%,13.5,13.5,0,0
Mario Lopez,3,1,Percent,22.9%-23.0%,22.9,23,0.1,0.001
Emmitt Smith,3,1,Percent,10.1%-10.1%,10.1,10.1,0,0
Shanna Moakler,3,1,Percent,11.1%-11.1%,11.1,11.1,0,0
Willa Ford,3,1,Percent,14.4%-14.4%,14.4,14.4,0,0
Sara Evans,3,1,Percent,2.2%-2.2%,2.2,2.2,0,0
Jerry Springer,3,1,Percent,7.5%-7.5%,7.5,7.5,0,0
Tucker Carlson,3,1,Percent,0.8%-0.8%,0.8,0.8,0,0
Harry Hamlin,3,2,Percent,3.6%-3.7%,3.6,3.7,0.1,0.001
Vivica A. Fox,3,2,Percent,6.7%-6.8%,6.7,6.8,0.1,0.001
Monique Coleman,3,2,Percent,11.4%-11.5%,11.4,11.5,0.1,0.001
Joey Lawrence,3,2,Percent,21.0%-21.1%,21,21.1,0.1,0.001
Mario Lopez,3,2,Percent,18.0%-18.1%,18,18.1,0.1,0.001
Emmitt Smith,3,2,Percent,8.4%-8.4%,8.4,8.4,0,0
Shanna Moakler,3,2,Percent,9.2%-9.3%,9.2,9.3,0.1,0.001
Willa Ford,3,2,Percent,13.3%-13.3%,13.3,13.3,0,0
Sara Evans,3,2,Percent,1.9%-2.0%,1.9,2,0.1,0.001
Jerry Springer,3,2,Percent,6.1%-6.2%,6.1,6.2,0.1,0.001
Harry Hamlin,3,3,Percent,2.8%-2.9%,2.8,2.9,0.1,0.001
Vivica A. Fox,3,3,Percent,11.3%-11.4%,11.3,11.4,0.1,0.001
Monique Coleman,3,3,Percent,16.7%-16.8%,16.7,16.8,0.1,0.001
Joey Lawrence,3,3,Percent,14.8%-14.9%,14.8,14.9,0.1,0.001
Mario Lopez,3,3,Percent,23.8%-24.0%,23.8,24,0.2,0.002
Emmitt Smith,3,3,Percent,1.2%-1.3%,1.2,1.3,0.1,0.001
Willa Ford,3,3,Percent,12.9%-13.0%,12.9,13,0.1,0.001
Sara Evans,3,3,Percent,7.1%-7.2%,7.1,7.2,0.1,0.001
Jerry Springer,3,3,Percent,8.9%-9.1%,8.9,9.1,0.2,0.002
Vivica A. Fox,3,4,Percent,5.6%-5.6%,5.6,5.6,0,0
Monique Coleman,3,4,Percent,9.3%-9.3%,9.3,9.3,0,0
Joey Lawrence,3,4,Percent,17.3%-17.3%,17.3,17.3,0,0
Mario Lopez,3,4,Percent,27.4%-27.4%,27.4,27.4,0,0
Emmitt Smith,3,4,Percent,7.8%-7.9%,7.8,7.9,0.1,0.001
Willa Ford,3,4,Percent,19.2%-19.3%,19.2,19.3,0.1,0.001
Sara Evans,3,4,Percent,1.8%-1.8%,1.8,1.8,0,0
Jerry Springer,3,4,Percent,11.5%-11.5%,11.5,11.5,0,0
Monique Coleman,3,5,Percent,14.1%-14.1%,14.1,14.1,0,0
Joey Lawrence,3,5,Percent,15.6%-15.6%,15.6,15.6,0,0
Mario Lopez,3,5,Percent,24.9%-25.0%,24.9,25,0.1,0.001
Emmitt Smith,3,5,Percent,13.0%-13.0%,13,13,0,0
Willa Ford,3,5,Percent,16.6%-16.6%,16.6,16.6,0,0
Sara Evans,3,5,Percent,5.1%-5.1%,5.1,5.1,0,0
Jerry Springer,3,5,Percent,10.7%-10.8%,10.7,10.8,0.1,0.001
Monique Coleman,3,6,Percent,11.3%-11.3%,11.3,11.3,0,0
Joey Lawrence,3,6,Percent,23.7%-23.7%,23.7,23.7,0,0
Mario Lopez,3,6,Percent,42.0%-42.1%,42,42.1,0.1,0.001
Emmitt Smith,3,6,Percent,16.1%-16.1%,16.1,16.1,0,0
Jerry Springer,3,6,Percent,6.8%-6.9%,6.8,6.9,0.1,0.001
Monique Coleman,3,7,Percent,12.1%-12.1%,12.1,12.1,0,0
Joey Lawrence,3,7,Percent,26.5%-26.6%,26.5,26.6,0.1,0.001
Mario Lopez,3,7,Percent,37.1%-37.2%,37.1,37.2,0.1,0.001
Emmitt Smith,3,7,Percent,17.5%-17.5%,17.5,17.5,0,0
Jerry Springer,3,7,Percent,6.7%-6.7%,6.7,6.7,0,0
Monique Coleman,3,8,Percent,10.8%-10.9%,10.8,10.9,0.1,0.001
Joey Lawrence,3,8,Percent,25.6%-25.6%,25.6,25.6,0,0
Mario Lopez,3,8,Percent,46.4%-46.5%,46.4,46.5,0.1,0.001
Emmitt Smith,3,8,Percent,17.0%-17.1%,17,17.1,0.1,0.001
Joey Lawrence,3,9,Percent,33.9%-32.6%,32.6,33.9,1.3,0.013
Mario Lopez,3,9,Percent,35.6%-34.4%,34.4,35.6,1.2,0.012
Emmitt Smith,3,9,Percent,32.2%-31.3%,31.3,32.2,0.9,0.009
Mario Lopez,3,10,Percent,41.1%-54.9%,41.1,54.9,13.8,0.138
Emmitt Smith,3,10,Percent,45.1%-58.9%,45.1,58.9,13.8,0.138
Aiden Turner,10,1,Percent,2.0%-2.0%,2,2,0,0
Shannen Doherty,10,1,Percent,5.9%-5.9%,5.9,5.9,0,0
Niecy Nash,10,1,Percent,3.8%-3.8%,3.8,3.8,0,0
Buzz Aldrin,10,1,Percent,1.2%-1.2%,1.2,1.2,0,0
Chad Ochocinco,10,1,Percent,5.1%-5.1%,5.1,5.1,0,0
Evan Lysacek,10,1,Percent,9.7%-9.7%,9.7,9.7,0,0
Pamela Anderson,10,1,Percent,13.4%-13.4%,13.4,13.4,0,0
Nicole Scherzinger,10,1,Percent,22.0%-22.0%,22,22,0,0
Erin Andrews,10,1,Percent,15.3%-15.3%,15.3,15.3,0,0
Kate Gosselin,10,1,Percent,12.7%-12.7%,12.7,12.7,0,0
Jake Pavelka,10,1,Percent,8.9%-8.9%,8.9,8.9,0,0
Aiden Turner,10,2,Percent,4.2%-4.2%,4.2,4.2,0,0
Shannen Doherty,10,2,Percent,4.6%-4.6%,4.6,4.6,0,0
Niecy Nash,10,2,Percent,6.2%-6.2%,6.2,6.2,0,0
Buzz Aldrin,10,2,Percent,1.4%-1.4%,1.4,1.4,0,0
Chad Ochocinco,10,2,Percent,3.0%-3.0%,3,3,0,0
Evan Lysacek,10,2,Percent,9.1%-9.1%,9.1,9.1,0,0
Pamela Anderson,10,2,Percent,13.1%-13.1%,13.1,13.1,0,0
Nicole Scherzinger,10,2,Percent,22.3%-22.3%,22.3,22.3,0,0
Erin Andrews,10,2,Percent,15.4%-15.4%,15.4,15.4,0,0
Kate Gosselin,10,2,Percent,12.3%-12.3%,12.3,12.3,0,0
Jake Pavelka,10,2,Percent,8.3%-8.4%,8.3,8.4,0.1,0.001
Aiden Turner,10,3,Percent,4.0%-4.1%,4,4.1,0.1,0.001
Niecy Nash,10,3,Percent,6.2%-6.3%,6.2,6.3,0.1,0.001
Buzz Aldrin,10,3,Percent,0.4%-0.5%,0.4,0.5,0.1,0.001
Chad Ochocinco,10,3,Percent,5.3%-5.3%,5.3,5.3,0,0
Evan Lysacek,10,3,Percent,10.8%-10.8%,10.8,10.8,0,0
Pamela Anderson,10,3,Percent,13.6%-13.7%,13.6,13.7,0.1,0.001
Nicole Scherzinger,10,3,Percent,21.1%-21.2%,21.1,21.2,0.1,0.001
Erin Andrews,10,3,Percent,16.7%-16.8%,16.7,16.8,0.1,0.001
Kate Gosselin,10,3,Percent,12.5%-12.6%,12.5,12.6,0.1,0.001
Jake Pavelka,10,3,Percent,9.1%-9.2%,9.1,9.2,0.1,0.001
Aiden Turner,10,4,Percent,1.2%-1.3%,1.2,1.3,0.1,0.001
Niecy Nash,10,4,Percent,3.0%-3.1%,3,3.1,0.1,0.001
Chad Ochocinco,10,4,Percent,8.3%-8.3%,8.3,8.3,0,0
Evan Lysacek,10,4,Percent,11.2%-11.3%,11.2,11.3,0.1,0.001
Pamela Anderson,10,4,Percent,17.1%-17.1%,17.1,17.1,0,0
Nicole Scherzinger,10,4,Percent,24.3%-24.5%,24.3,24.5,0.2,0.002
Erin Andrews,10,4,Percent,14.5%-14.5%,14.5,14.5,0,0
Kate Gosselin,10,4,Percent,13.3%-13.4%,13.3,13.4,0.1,0.001
Jake Pavelka,10,4,Percent,6.8%-6.9%,6.8,6.9,0.1,0.001
Niecy Nash,10,5,Percent,3.2%-3.2%,3.2,3.2,0,0
Chad Ochocinco,10,5,Percent,5.2%-5.2%,5.2,5.2,0,0
Evan Lysacek,10,5,Percent,13.7%-13.7%,13.7,13.7,0,0
Pamela Anderson,10,5,Percent,11.5%-11.5%,11.5,11.5,0,0
Nicole Scherzinger,10,5,Percent,27.1%-27.1%,27.1,27.1,0,0
Erin Andrews,10,5,Percent,17.2%-17.2%,17.2,17.2,0,0
Kate Gosselin,10,5,Percent,9.7%-9.7%,9.7,9.7,0,0
Jake Pavelka,10,5,Percent,12.4%-12.4%,12.4,12.4,0,0
Niecy Nash,10,6,Percent,4.4%-4.4%,4.4,4.4,0,0
Chad Ochocinco,10,6,Percent,11.9%-11.9%,11.9,11.9,0,0
Evan Lysacek,10,6,Percent,6.5%-6.5%,6.5,6.5,0,0
Pamela Anderson,10,6,Percent,16.8%-16.8%,16.8,16.8,0,0
Nicole Scherzinger,10,6,Percent,29.6%-29.7%,29.6,29.7,0.1,0.001
Erin Andrews,10,6,Percent,22.5%-22.5%,22.5,22.5,0,0
Jake Pavelka,10,6,Percent,8.3%-8.3%,8.3,8.3,0,0
Niecy Nash,10,7,Percent,8.6%-8.6%,8.6,8.6,0,0
Chad Ochocinco,10,7,Percent,13.0%-13.0%,13,13,0,0
Evan Lysacek,10,7,Percent,15.5%-15.5%,15.5,15.5,0,0
Pamela Anderson,10,7,Percent,16.2%-16.2%,16.2,16.2,0,0
Nicole Scherzinger,10,7,Percent,27.3%-27.3%,27.3,27.3,0,0
Erin Andrews,10,7,Percent,19.4%-19.5%,19.4,19.5,0.1,0.001
Niecy Nash,10,8,Percent,6.9%-6.9%,6.9,6.9,0,0
Chad Ochocinco,10,8,Percent,11.6%-11.6%,11.6,11.6,0,0
Evan Lysacek,10,8,Percent,17.5%-17.5%,17.5,17.5,0,0
Nicole Scherzinger,10,8,Percent,37.2%-37.3%,37.2,37.3,0.1,0.001
Erin Andrews,10,8,Percent,26.7%-26.7%,26.7,26.7,0,0
Chad Ochocinco,10,9,Percent,10.0%-10.1%,10,10.1,0.1,0.001
Evan Lysacek,10,9,Percent,21.3%-21.4%,21.3,21.4,0.1,0.001
Nicole Scherzinger,10,9,Percent,40.1%-40.1%,40.1,40.1,0,0
Erin Andrews,10,9,Percent,28.5%-28.5%,28.5,28.5,0,0
Evan Lysacek,10,10,Percent,19.9%-19.9%,19.9,19.9,0,0
Nicole Scherzinger,10,10,Percent,48.2%-48.3%,48.2,48.3,0.1,0.001
Erin Andrews,10,10,Percent,31.8%-31.8%,31.8,31.8,0,0
Cristian de la Fuente,6,1,Percent,9.8%-9.9%,9.8,9.9,0.1,0.001
Steve Guttenberg,6,1,Percent,3.6%-3.7%,3.6,3.7,0.1,0.001
Priscilla Presley,6,1,Percent,15.0%-15.1%,15,15.1,0.1,0.001
Marlee Matlin,6,1,Percent,7.2%-7.2%,7.2,7.2,0,0
Shannon Elizabeth,6,1,Percent,6.6%-6.7%,6.6,6.7,0.1,0.001
Marissa Jaret Winokur,6,1,Percent,3.0%-3.1%,3,3.1,0.1,0.001
Jason Taylor,6,1,Percent,13.5%-13.5%,13.5,13.5,0,0
Kristi Yamaguchi,6,1,Percent,16.5%-16.6%,16.5,16.6,0.1,0.001
Monica Seles,6,1,Percent,0.8%-0.9%,0.8,0.9,0.1,0.001
Penn Jillette,6,1,Percent,2.2%-2.3%,2.2,2.3,0.1,0.001
Adam Carolla,6,1,Percent,5.6%-5.7%,5.6,5.7,0.1,0.001
Mario,6,1,Percent,15.7%-15.8%,15.7,15.8,0.1,0.001
Cristian de la Fuente,6,2,Percent,4.8%-4.8%,4.8,4.8,0,0
Steve Guttenberg,6,2,Percent,1.8%-1.8%,1.8,1.8,0,0
Priscilla Presley,6,2,Percent,12.7%-12.7%,12.7,12.7,0,0
Marlee Matlin,6,2,Percent,6.9%-6.9%,6.9,6.9,0,0
Shannon Elizabeth,6,2,Percent,8.7%-8.8%,8.7,8.8,0.1,0.001
Marissa Jaret Winokur,6,2,Percent,5.1%-5.1%,5.1,5.1,0,0
Jason Taylor,6,2,Percent,17.2%-17.3%,17.2,17.3,0.1,0.001
Kristi Yamaguchi,6,2,Percent,14.5%-14.5%,14.5,14.5,0,0
Monica Seles,6,2,Percent,0.8%-0.9%,0.8,0.9,0.1,0.001
Penn Jillette,6,2,Percent,3.0%-3.0%,3,3,0,0
Adam Carolla,6,2,Percent,8.2%-8.2%,8.2,8.2,0,0
Mario,6,2,Percent,16.1%-16.1%,16.1,16.1,0,0
Cristian de la Fuente,6,3,Percent,15.5%-15.5%,15.5,15.5,0,0
Steve Guttenberg,6,3,Percent,3.4%-3.5%,3.4,3.5,0.1,0.001
Priscilla Presley,6,3,Percent,18.5%-18.5%,18.5,18.5,0,0
Marlee Matlin,6,3,Percent,3.1%-3.1%,3.1,3.1,0,0
Shannon Elizabeth,6,3,Percent,7.2%-7.2%,7.2,7.2,0,0
Marissa Jaret Winokur,6,3,Percent,1.2%-1.2%,1.2,1.2,0,0
Jason Taylor,6,3,Percent,13.9%-13.9%,13.9,13.9,0,0
Kristi Yamaguchi,6,3,Percent,16.9%-16.9%,16.9,16.9,0,0
Adam Carolla,6,3,Percent,8.5%-8.5%,8.5,8.5,0,0
Mario,6,3,Percent,11.8%-11.8%,11.8,11.8,0,0
Cristian de la Fuente,6,4,Percent,15.6%-15.6%,15.6,15.6,0,0
Priscilla Presley,6,4,Percent,12.1%-12.1%,12.1,12.1,0,0
Marlee Matlin,6,4,Percent,3.0%-3.0%,3,3,0,0
Shannon Elizabeth,6,4,Percent,8.5%-8.5%,8.5,8.5,0,0
Marissa Jaret Winokur,6,4,Percent,3.9%-4.0%,3.9,4,0.1,0.001
Jason Taylor,6,4,Percent,21.6%-21.7%,21.6,21.7,0.1,0.001
Kristi Yamaguchi,6,4,Percent,18.5%-18.5%,18.5,18.5,0,0
Adam Carolla,6,4,Percent,2.2%-2.2%,2.2,2.2,0,0
Mario,6,4,Percent,14.5%-14.5%,14.5,14.5,0,0
Cristian de la Fuente,6,5,Percent,10.0%-10.1%,10,10.1,0.1,0.001
Priscilla Presley,6,5,Percent,11.8%-11.8%,11.8,11.8,0,0
Marlee Matlin,6,5,Percent,5.1%-5.1%,5.1,5.1,0,0
Shannon Elizabeth,6,5,Percent,7.0%-7.0%,7,7,0,0
Marissa Jaret Winokur,6,5,Percent,7.8%-7.8%,7.8,7.8,0,0
Jason Taylor,6,5,Percent,18.2%-18.2%,18.2,18.2,0,0
Kristi Yamaguchi,6,5,Percent,20.6%-20.6%,20.6,20.6,0,0
Mario,6,5,Percent,19.4%-19.4%,19.4,19.4,0,0
Cristian de la Fuente,6,6,Percent,18.6%-18.6%,18.6,18.6,0,0
Marlee Matlin,6,6,Percent,2.2%-2.2%,2.2,2.2,0,0
Shannon Elizabeth,6,6,Percent,6.7%-6.8%,6.7,6.8,0.1,0.001
Marissa Jaret Winokur,6,6,Percent,9.0%-9.0%,9,9,0,0
Jason Taylor,6,6,Percent,16.4%-16.4%,16.4,16.4,0,0
Kristi Yamaguchi,6,6,Percent,24.5%-24.5%,24.5,24.5,0,0
Mario,6,6,Percent,22.6%-22.6%,22.6,22.6,0,0
Cristian de la Fuente,6,7,Percent,7.1%-7.2%,7.1,7.2,0.1,0.001
Shannon Elizabeth,6,7,Percent,14.2%-14.2%,14.2,14.2,0,0
Marissa Jaret Winokur,6,7,Percent,13.2%-13.2%,13.2,13.2,0,0
Jason Taylor,6,7,Percent,23.8%-23.8%,23.8,23.8,0,0
Kristi Yamaguchi,6,7,Percent,20.2%-20.2%,20.2,20.2,0,0
Mario,6,7,Percent,21.4%-21.4%,21.4,21.4,0,0
Cristian de la Fuente,6,8,Percent,29.2%-29.2%,29.2,29.2,0,0
Marissa Jaret Winokur,6,8,Percent,13.1%-13.1%,13.1,13.1,0,0
Jason Taylor,6,8,Percent,19.4%-19.4%,19.4,19.4,0,0
Kristi Yamaguchi,6,8,Percent,18.4%-18.4%,18.4,18.4,0,0
Mario,6,8,Percent,19.9%-19.9%,19.9,19.9,0,0
Cristian de la Fuente,6,9,Percent,31.6%-31.6%,31.6,31.6,0,0
Marissa Jaret Winokur,6,9,Percent,4.7%-5.0%,4.7,5,0.3,0.003
Jason Taylor,6,9,Percent,27.8%-27.8%,27.8,27.8,0,0
Kristi Yamaguchi,6,9,Percent,35.7%-35.8%,35.7,35.8,0.1,0.001
Cristian de la Fuente,6,10,Percent,18.6%-18.8%,18.6,18.8,0.2,0.002
Jason Taylor,6,10,Percent,34.9%-34.9%,34.9,34.9,0,0
Kristi Yamaguchi,6,10,Percent,46.4%-46.4%,46.4,46.4,0,0
John Ratzenberger,4,1,Percent,3.7%-3.7%,3.7,3.7,0,0
Ian Ziering,4,1,Percent,10.2%-10.3%,10.2,10.3,0.1,0.001
Clyde Drexler,4,1,Percent,2.3%-2.4%,2.3,2.4,0.1,0.001
Laila Ali,4,1,Percent,13.0%-13.0%,13,13,0,0
Apolo Anton Ohno,4,1,Percent,25.7%-25.8%,25.7,25.8,0.1,0.001
Shandi Finnessey,4,1,Percent,5.3%-5.4%,5.3,5.4,0.1,0.001
Paulina Porizkova,4,1,Percent,6.4%-6.5%,6.4,6.5,0.1,0.001
Heather Mills,4,1,Percent,8.8%-8.8%,8.8,8.8,0,0
Billy Ray Cyrus,4,1,Percent,7.6%-7.6%,7.6,7.6,0,0
Joey Fatone,4,1,Percent,15.7%-15.7%,15.7,15.7,0,0
Leeza Gibbons,4,1,Percent,1.1%-1.1%,1.1,1.1,0,0
John Ratzenberger,4,2,Percent,5.8%-5.8%,5.8,5.8,0,0
Ian Ziering,4,2,Percent,7.3%-7.3%,7.3,7.3,0,0
Clyde Drexler,4,2,Percent,1.4%-1.4%,1.4,1.4,0,0
Laila Ali,4,2,Percent,14.6%-14.6%,14.6,14.6,0,0
Apolo Anton Ohno,4,2,Percent,25.3%-25.3%,25.3,25.3,0,0
Shandi Finnessey,4,2,Percent,2.9%-3.0%,2.9,3,0.1,0.001
Paulina Porizkova,4,2,Percent,4.5%-4.5%,4.5,4.5,0,0
Heather Mills,4,2,Percent,10.2%-10.2%,10.2,10.2,0,0
Billy Ray Cyrus,4,2,Percent,12.4%-12.4%,12.4,12.4,0,0
Joey Fatone,4,2,Percent,11.3%-11.3%,11.3,11.3,0,0
Leeza Gibbons,4,2,Percent,4.2%-4.2%,4.2,4.2,0,0
John Ratzenberger,4,3,Percent,3.9%-4.0%,3.9,4,0.1,0.001
Ian Ziering,4,3,Percent,9.4%-9.5%,9.4,9.5,0.1,0.001
Clyde Drexler,4,3,Percent,1.0%-1.0%,1,1,0,0
Laila Ali,4,3,Percent,7.2%-7.2%,7.2,7.2,0,0
Apolo Anton Ohno,4,3,Percent,23.3%-23.5%,23.3,23.5,0.2,0.002
Shandi Finnessey,4,3,Percent,4.7%-4.7%,4.7,4.7,0,0
Heather Mills,4,3,Percent,12.2%-12.3%,12.2,12.3,0.1,0.001
Billy Ray Cyrus,4,3,Percent,14.4%-14.5%,14.4,14.5,0.1,0.001
Joey Fatone,4,3,Percent,13.4%-13.4%,13.4,13.4,0,0
Leeza Gibbons,4,3,Percent,10.3%-10.3%,10.3,10.3,0,0
John Ratzenberger,4,4,Percent,3.6%-3.6%,3.6,3.6,0,0
Ian Ziering,4,4,Percent,11.6%-11.6%,11.6,11.6,0,0
Clyde Drexler,4,4,Percent,2.3%-2.3%,2.3,2.3,0,0
Laila Ali,4,4,Percent,8.5%-8.5%,8.5,8.5,0,0
Apolo Anton Ohno,4,4,Percent,26.8%-26.9%,26.8,26.9,0.1,0.001
Heather Mills,4,4,Percent,10.8%-10.8%,10.8,10.8,0,0
Billy Ray Cyrus,4,4,Percent,14.8%-14.8%,14.8,14.8,0,0
Joey Fatone,4,4,Percent,17.0%-17.0%,17,17,0,0
Leeza Gibbons,4,4,Percent,4.5%-4.5%,4.5,4.5,0,0
John Ratzenberger,4,5,Percent,4.9%-4.9%,4.9,4.9,0,0
Ian Ziering,4,5,Percent,11.7%-11.7%,11.7,11.7,0,0
Clyde Drexler,4,5,Percent,1.6%-1.6%,1.6,1.6,0,0
Laila Ali,4,5,Percent,16.5%-16.5%,16.5,16.5,0,0
Apolo Anton Ohno,4,5,Percent,31.6%-31.7%,31.6,31.7,0.1,0.001
Heather Mills,4,5,Percent,8.6%-8.6%,8.6,8.6,0,0
Billy Ray Cyrus,4,5,Percent,10.8%-10.8%,10.8,10.8,0,0
Joey Fatone,4,5,Percent,14.4%-14.4%,14.4,14.4,0,0
John Ratzenberger,4,6,Percent,3.5%-3.5%,3.5,3.5,0,0
Ian Ziering,4,6,Percent,9.5%-9.5%,9.5,9.5,0,0
Laila Ali,4,6,Percent,18.2%-18.2%,18.2,18.2,0,0
Apolo Anton Ohno,4,6,Percent,32.7%-32.8%,32.7,32.8,0.1,0.001
Heather Mills,4,6,Percent,7.0%-7.0%,7,7,0,0
Billy Ray Cyrus,4,6,Percent,12.9%-12.9%,12.9,12.9,0,0
Joey Fatone,4,6,Percent,16.0%-16.1%,16,16.1,0.1,0.001
John Ratzenberger,4,7,Percent,3.9%-4.0%,3.9,4,0.1,0.001
Ian Ziering,4,7,Percent,12.7%-12.7%,12.7,12.7,0,0
Laila Ali,4,7,Percent,17.6%-17.6%,17.6,17.6,0,0
Apolo Anton Ohno,4,7,Percent,35.3%-35.4%,35.3,35.4,0.1,0.001
Billy Ray Cyrus,4,7,Percent,8.9%-8.9%,8.9,8.9,0,0
Joey Fatone,4,7,Percent,21.5%-21.6%,21.5,21.6,0.1,0.001
Ian Ziering,4,8,Percent,10.3%-10.3%,10.3,10.3,0,0
Laila Ali,4,8,Percent,16.1%-16.1%,16.1,16.1,0,0
Apolo Anton Ohno,4,8,Percent,44.9%-44.9%,44.9,44.9,0,0
Billy Ray Cyrus,4,8,Percent,6.9%-6.9%,6.9,6.9,0,0
Joey Fatone,4,8,Percent,21.8%-21.8%,21.8,21.8,0,0
Ian Ziering,4,9,Percent,8.3%-9.0%,8.3,9,0.7,0.007
Laila Ali,4,9,Percent,23.3%-23.5%,23.3,23.5,0.2,0.002
Apolo Anton Ohno,4,9,Percent,38.7%-39.4%,38.7,39.4,0.7,0.007
Joey Fatone,4,9,Percent,28.8%-29.1%,28.8,29.1,0.3,0.003
